"","2008","2013","2018"
"Total Stems",14,0,0
"New Stems (recruit rate)",NA,NA,NA
"Dead Stems",0,14,14
"Min DBH",10.1,Inf,Inf
"Max DBH",33.6,-Inf,-Inf
