"","2008","2013","2018"
"Total Stems",0,1,0
"New Stems (recruit rate)",NA,NA,NA
"Dead Stems",1,0,1
"Min DBH",Inf,10.3,Inf
"Max DBH",-Inf,10.3,-Inf
