"","2008","2013","2018"
"Total Stems",6,0,0
"New Stems (recruit rate)",NA,NA,NA
"Dead Stems",1,7,7
"Min DBH",48.3,Inf,Inf
"Max DBH",620.2,-Inf,-Inf
