"","2008","2013","2018"
"Total Stems",2496,2410,2305
"New Stems (recruit rate)",NA,NA,NA
"Dead Stems",103,189,294
"Min DBH",10.1,10.1,10
"Max DBH",1365.2,1422.3,1436
