"","2008","2013","2018"
"Total Stems",1,1,0
"New Stems (recruit rate)",NA,NA,NA
"Dead Stems",0,0,1
"Min DBH",23.9,25.4,Inf
"Max DBH",23.9,25.4,-Inf
